id,title,link,price,shipping,image_link,availability,brand,condition,google_product_category,custom_label_0,custom_label_1,ads_label,description
1H2084361C,"Skarpetki z zimowym motywem VW T1/Beetle, 2 pary - 41-46","https://vwdostawcze-sklep.pl/katalog/1/skarpetki-z-zimowym-motywem-vw-t147beetle44-2-pary,208521.html?a=1",49.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1637153019_0e17762e67ba5851e067ba162967337d.jpeg,in stock,VW,New,,,in_stock,,"Skarpetki z zimowym motywemVW T1/Beetle w kolorze czerwonym i granatowym. Zestaw składa się z dwóch par skarpet. Można prać w pralce w 30°C.|Materiał: 86% bawełna, 12% poliamid, 2% elastan|Skarpetki są dostępne w rozmiarach: 36-40 oraz 41-46 (wybór rozmiaru możliwy pod rozwijaną listą z wyborem dealera).|Edycja limitowana – do wyczerpania zapasu."
1H2084361B,"Skarpetki z zimowym motywem VW T1/Beetle, 2 pary - 36-40","https://vwdostawcze-sklep.pl/katalog/1/skarpetki-z-zimowym-motywem-vw-t147beetle44-2-pary,208520.html?a=1",49.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1637153032_ff3b9642fb9b1af98470d316659459e0.jpeg,in stock,VW,New,,,in_stock,,"Skarpetki z zimowym motywemVW T1/Beetle w kolorze czerwonym i granatowym. Zestaw składa się z dwóch par skarpet. Można prać w pralce w 30°C.|Materiał: 86% bawełna, 12% poliamid, 2% elastan|Skarpetki są dostępne w rozmiarach: 36-40 oraz 41-46 (wybór rozmiaru możliwy pod rozwijaną listą z wyborem dealera).|Edycja limitowana – do wyczerpania zapasu."
7E9084132EWN3,"Bluza męska VW T1, dł. rękaw - 2XL","https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208474.html?a=1",169.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965360_89951151b8e51b5701fd38e4628d4d7e.jpeg,in stock,VW,New,,,in_stock,,"Męska bluza z długim rękawem w kolorzeoliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084132DWN3,"Bluza męska VW T1, dł. rękaw - XL","https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208473.html?a=1",169.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965305_b35ab321210c6f191ca3d0e0e4be7ea0.jpeg,in stock,VW,New,,,in_stock,,"Męska bluza z długim rękawem w kolorze oliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084132CWN3,"Bluza męska VW T1, dł. rękaw - L","https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208472.html?a=1",169.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965337_18161c45e31ef04a07f6dd19df9040ac.jpeg,in stock,VW,New,,,in_stock,,"Męska bluza z długim rękawem w kolorze oliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084132BWN3,"Bluza męska VW T1, dł. rękaw - M","https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208471.html?a=1",169.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965290_c5b656f74dd4896d23cd8bf2a8f705b2.jpeg,in stock,VW,New,,,in_stock,,"Męska bluza z długim rękawem w kolorze oliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084132AWN3,"Bluza męska VW T1, dł. rękaw - S","https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208470.html?a=1",169.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624957219_3fd94e910479dc9c86f41816602c3063.jpeg,in stock,VW,New,,,in_stock,,"Męska bluza z długim rękawem w kolorzeoliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084050ED5E,Kurtka męska VW T1 softshell - 2XL,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208479.html?a=1",319.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965238_6498619aab47faabfac9a4d765d5df72.jpeg,in stock,VW,New,,,in_stock,,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin"
7E9084050DD5E,Kurtka męska VW T1 softshell - XL,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208478.html?a=1",319.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965211_a6a1720cd3daf1b77fba00c09faafd5a.jpeg,in stock,VW,New,,,in_stock,,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin"
7E9084050CD5E,Kurtka męska VW T1 softshell - L,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208477.html?a=1",319.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965188_4da79f42e4f41e904a8adc660437b557.jpeg,in stock,VW,New,,,in_stock,,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin"
7E9084050BD5E,Kurtka męska VW T1 softshell - M,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208476.html?a=1",319.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965163_9862ea7bf099702436a7b54371b9e572.jpeg,in stock,VW,New,,,in_stock,,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin"
7E9084050AD5E,Kurtka męska VW T1 softshell - S,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208475.html?a=1",319.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624957878_ce67168002c4f259f42826e5e57f7e9c.jpeg,in stock,VW,New,,,in_stock,,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin"
7E9084200ED5E,"T-shirt męski VW T2, niebieski - 2XL","https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208484.html?a=1",129.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965104_fae1d5b75540593312c4575d053c8f62.jpeg,in stock,VW,New,,,in_stock,,"Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084200DD5E,"T-shirt męski VW T2, niebieski - XL","https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208483.html?a=1",129.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965090_1299d36e334c20a692b4bf1c31ff03f7.jpeg,in stock,VW,New,,,in_stock,,"Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084200CD5E,"T-shirt męski VW T2, niebieski - L","https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208482.html?a=1",129.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965077_7307e498baad60dca220e487f13c40e6.jpeg,in stock,VW,New,,,in_stock,,"Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084200BD5E,"T-shirt męski VW T2, niebieski - M","https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208481.html?a=1",129.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965055_2a37f2a8cb602282fe34efed4f1d0878.jpeg,in stock,VW,New,,,in_stock,,"Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
